dx,gb,dz,gb_energy
0,1,0,1.013011764
0,1,0.1,
0,1,0.2,
0,1,0.3,
0,1,0.4,1.04261061
0,1,0.5,
0,1,0.6,
0,1,0.7,
0,1,0.8,
0,1,0.9,
0,1,1,
0,1,1.1,
0,1,1.2,
0,1,1.3,
0,1,1.4,
0,1,1.5,1.212279694
0,1,1.6,
0,1,1.7,
0,1,1.8,
0,1,1.9,
0,1,2,
0,1,2.1,
0,1,2.2,
0,1,2.3,
0,1,2.4,
0,1,2.5,
0,1,2.6,
0,1,2.7,
0,1,2.8,
0,1,2.9,
0,1,3,
0,1,3.1,
0,1,3.2,
0,1,3.3,
0,1,3.4,
0,1,3.5,
0,1,3.6,
0.1,1,0,
0.1,1,0.1,1.006162061
0.1,1,0.2,
0.1,1,0.3,
0.1,1,0.4,
0.1,1,0.5,
0.1,1,0.6,
0.1,1,0.7,
0.1,1,0.8,
0.1,1,0.9,
0.1,1,1,1.096176735
0.1,1,1.1,
0.1,1,1.2,
0.1,1,1.3,
0.1,1,1.4,
0.1,1,1.5,
0.1,1,1.6,
0.1,1,1.7,
0.1,1,1.8,
0.1,1,1.9,
0.1,1,2,
0.1,1,2.1,
0.1,1,2.2,
0.1,1,2.3,
0.1,1,2.4,
0.1,1,2.5,
0.1,1,2.6,
0.1,1,2.7,
0.1,1,2.8,1.147284416
0.1,1,2.9,
0.1,1,3,
0.1,1,3.1,
0.1,1,3.2,
0.1,1,3.3,1.022511516
0.1,1,3.4,
0.1,1,3.5,
0.1,1,3.6,
0.2,1,0,
0.2,1,0.1,
0.2,1,0.2,
0.2,1,0.3,
0.2,1,0.4,
0.2,1,0.5,
0.2,1,0.6,
0.2,1,0.7,
0.2,1,0.8,1.153925458
0.2,1,0.9,
0.2,1,1,
0.2,1,1.1,
0.2,1,1.2,
0.2,1,1.3,
0.2,1,1.4,
0.2,1,1.5,
0.2,1,1.6,
0.2,1,1.7,
0.2,1,1.8,
0.2,1,1.9,
0.2,1,2,
0.2,1,2.1,1.005559674
0.2,1,2.2,
0.2,1,2.3,
0.2,1,2.4,
0.2,1,2.5,
0.2,1,2.6,
0.2,1,2.7,
0.2,1,2.8,
0.2,1,2.9,
0.2,1,3,
0.2,1,3.1,
0.2,1,3.2,
0.2,1,3.3,
0.2,1,3.4,
0.2,1,3.5,
0.2,1,3.6,
0.3,1,0,0.993769202
0.3,1,0.1,
0.3,1,0.2,
0.3,1,0.3,
0.3,1,0.4,
0.3,1,0.5,
0.3,1,0.6,
0.3,1,0.7,
0.3,1,0.8,
0.3,1,0.9,
0.3,1,1,
0.3,1,1.1,
0.3,1,1.2,
0.3,1,1.3,
0.3,1,1.4,
0.3,1,1.5,
0.3,1,1.6,
0.3,1,1.7,
0.3,1,1.8,
0.3,1,1.9,
0.3,1,2,
0.3,1,2.1,
0.3,1,2.2,
0.3,1,2.3,
0.3,1,2.4,
0.3,1,2.5,
0.3,1,2.6,1.098137123
0.3,1,2.7,
0.3,1,2.8,
0.3,1,2.9,
0.3,1,3,
0.3,1,3.1,
0.3,1,3.2,
0.3,1,3.3,
0.3,1,3.4,
0.3,1,3.5,
0.3,1,3.6,
0.4,1,0,
0.4,1,0.1,
0.4,1,0.2,
0.4,1,0.3,
0.4,1,0.4,
0.4,1,0.5,
0.4,1,0.6,
0.4,1,0.7,
0.4,1,0.8,
0.4,1,0.9,
0.4,1,1,
