actions,dx,gb,dz
17870,7.7,1.5,3.6
16214,3.3,1.5,0.8
15895,2.4,1.5,2.2
17004,5.4,1.5,2.1
17979,8.0,1.5,3.4
16083,2.9,1.5,2.5
16642,4.4,1.5,2.9
5796,7.5,1.1,2.4
769,2.0,1.0,2.9
5855,7.7,1.1,0.9
3686,1.8,1.1,2.3
3657,1.7,1.1,3.1
17149,5.8,1.5,1.8
17307,6.2,1.5,2.8
15331,0.9,1.5,1.3
11501,6.7,1.3,3.1
12337,0.9,1.4,1.6
12008,0.0,1.4,2.0
952,2.5,1.0,2.7
12521,1.4,1.4,1.5
17917,7.9,1.5,0.9
12589,1.6,1.4,0.9
5928,7.9,1.1,0.8
16268,3.4,1.5,2.5
17829,7.6,1.5,3.2
17944,7.9,1.5,3.6
17932,7.9,1.5,2.4
16306,3.5,1.5,2.6
10035,2.8,1.3,0.8
17443,6.6,1.5,1.6
12394,1.0,1.4,3.6
31,0.0,1.0,3.1
4580,4.2,1.1,2.9
2617,7.0,1.0,2.7
17902,7.8,1.5,3.1
6893,2.4,1.2,1.1
17942,7.9,1.5,3.4
12024,0.0,1.4,3.6
4163,3.1,1.1,1.9
8721,7.3,1.2,2.6
17830,7.6,1.5,3.3
14983,8.0,1.4,3.5
1101,2.9,1.0,2.8
6046,0.1,1.2,1.5
16347,3.6,1.5,3.0
61,0.1,1.0,2.4
1723,4.6,1.0,2.1
5893,7.8,1.1,1.0
