x,y,variance,acquisition
0.0,0.0,752.2238527460406,2625.5448686056125,778.0439960519556
0.0,2.0,753.306328284179,2471.7189896891928,782.8146382936397
0.0,4.0,756.4699987021804,2305.415965119065,789.4069771886083
0.0,6.0,761.6495283290277,2128.497677326349,797.7515364693081
0.0,8.0,768.6126256806949,1943.9217977937033,807.5838674399321
0.0,10.0,776.9701208248247,1756.5654738328817,818.455924127521
0.0,12.0,786.2058225990827,1574.0336398652817,829.7711128977971
0.0,14.0,795.7236128764648,1406.7753519529674,840.8401837713751
0.0,16.0,804.9063375257047,1266.9745205574714,850.9514993690237
0.0,18.0,813.1788491331932,1166.215100976138,859.4463821259708
0.0,20.0,820.0664823322342,1112.564627708045,865.7888228869933
0.0,22.0,825.2405566610794,1108.1152811795064,869.6192192580129
0.0,24.0,828.5442250219354,1147.9467494775236,870.7840520665422
0.0,26.0,829.994886309134,1220.9622342110938,869.337190426909
0.0,28.0,829.7630059413855,1312.3459684171303,865.5132064912651
0.0,30.0,828.1309383717409,1406.813507818,859.6778370355097
0.0,32.0,825.4385788288039,1491.6021059770076,852.2646582683922
0.0,34.0,822.0248175166541,1558.3320823794193,843.7093773254796
0.0,36.0,818.1744354221914,1603.3509988139308,834.3934073528156
0.0,38.0,814.0791259767703,1626.7446070084986,824.60648991511
0.0,40.0,809.8188927005657,1630.6446488432239,814.5343836067115
0.0,42.0,805.3665629611417,1617.6277500811084,804.2727403321933
0.0,44.0,800.6141686862104,1589.8371616664158,793.8631662053123
0.0,46.0,795.416161876512,1549.05440992058,783.3430963971039
0.0,48.0,789.6415095288492,1497.4862978358833,772.7983524271234
0.0,50.0,783.2251544852934,1438.7221778330563,762.4066430446087
0.0,52.0,776.209403516863,1378.2868895255879,752.4619484485507
0.0,54.0,768.7674948651093,1323.4494974343343,743.3733802901231
0.0,56.0,761.2046074438646,1282.2966788997687,735.6370383586994
0.0,58.0,753.9353798191277,1262.3539552676589,729.7846392432346
0.0,60.0,747.4409537360084,1269.1299079457658,726.3172569029749
0.0,62.0,742.2119733885685,1304.898105707392,725.6355079319728
0.0,64.0,738.6862884558818,1367.939621706183,727.9783604494415
0.0,66.0,737.190955579117,1452.4406591572324,733.3812899545159
0.0,68.0,737.8973976586527,1549.251359782878,741.6610423444589
0.0,70.0,740.7964230097875,1647.6350359043745,752.4294771340828
0.0,72.0,745.6966232391092,1737.8591331864773,765.133788496671
0.0,74.0,752.2460163193581,1814.0392316378675,779.1158394170545
0.0,76.0,759.9732952580846,1876.2705723181657,793.6802632405897
0.0,78.0,768.342249229133,1931.0609283243864,808.1599515153653
0.0,80.0,776.8112649177109,1989.5682602114493,821.968708797466
0.0,82.0,784.8895028879039,2064.011256606491,834.6339274991249
0.0,84.0,792.1823529320802,2163.462741855372,845.806457120305
0.0,86.0,798.4208605332534,2290.604341552945,855.249512922609
0.0,88.0,803.4725760333963,2440.680908990118,862.8125365267076
0.0,90.0,807.3342165129962,2602.9808194609855,868.3985722278507
0.0,92.0,810.1091607573044,2764.126241443143,871.9344483771762
0.0,94.0,811.9747214903979,2911.7904566173793,873.3517468092306
0.0,96.0,813.1451080358006,3037.457696746377,872.5835198997813
0.0,98.0,813.8359394790324,3137.4400278063977,869.5776421480306
0.0,100.0,814.2352034706684,3212.2113269179595,864.3234421778516
2.0,0.0,739.1733968001988,2414.2539910485802,753.0769579397635
2.0,2.0,740.1042514753855,2239.315849510647,757.9912750564941
2.0,4.0,743.5129133313718,2055.4644096897996,765.1821314159138
2.0,6.0,749.3171648770311,1863.8868722854463,774.5476096597754
2.0,8.0,757.2376478117985,1666.64960350734,785.7695198221828
2.0,10.0,766.8132368565446,1468.02367593488,798.3287111193183
2.0,12.0,777.4389666606847,1275.5324804774987,811.5462268592689
2.0,14.0,788.4228894487229,1099.9411142704907,824.6466893420355
2.0,16.0,799.0551226126471,953.7726678822598,836.836417070419
2.0,18.0,808.6801103473334,848.6067116948548,847.3858594091323
2.0,20.0,816.7622124230821,792.0305741650668,855.7046222108626
2.0,22.0,822.9353775403872,785.3439814446295,861.3980197463317
2.0,24.0,827.029826845342,822.8539943259441,864.2967278039208
2.0,26.0,829.0720638795326,892.99398403886,864.4553480895014
2.0,28.0,829.2586124278231,980.8560540245711,862.1208127778377
2.0,30.0,827.9079946916428,1071.3060711033677,857.6766438442246
2.0,32.0,825.398904490161,1151.7681421234101,851.5731871947048
2.0,34.0,822.1047066497193,1213.9784704448539,844.2562741735087
2.0,36.0,818.3349132542012,1254.3922167443197,836.1068466974533
2.0,38.0,814.2930387183018,1273.350734757733,827.4018604535559
2.0,40.0,810.0574120593419,1273.4743038455413,818.3026384098735
2.0,42.0,805.5875945912281,1257.9495273147404,808.8715460036811
2.0,44.0,800.7546784080117,1229.362700304488,799.112396611624
2.0,46.0,795.3896696744939,1189.4745681887223,789.0254124394045
2.0,48.0,789.3410851412453,1139.9141083163022,778.6647444493501
2.0,50.0,782.5313328747131,1083.3553547836618,768.1860450474297
2.0,52.0,775.0016682239054,1024.5188608268993,757.8734948569388
2.0,54.0,766.9374653558635,970.4133428746952,748.1396478395984
2.0,56.0,758.6688781189663,929.5613914808325,739.4967150780416
2.0,58.0,750.6461023935415,910.3709529489397,732.5034419891531
2.0,60.0,743.3926860400429,919.1345436628114,727.6964775388312
2.0,62.0,737.4439476094699,958.2570114171449,725.5181733733257
2.0,64.0,733.2799656894225,1025.244384026595,726.2535064137946
2.0,66.0,731.2634112586225,1112.810836481145,729.9871588389839
2.0,68.0,731.5916190804726,1210.2380829038616,736.5880550764142
2.0,70.0,734.2699225940053,1305.8527611459044,745.7235898469173
2.0,72.0,739.1098479390214,1390.1579922928204,756.9003816853651
2.0,74.0,745.751877256984,1458.8175210072372,769.5237048522386
2.0,76.0,753.7088030645433,1514.499404715953,782.9646874157739
2.0,78.0,762.4227968902409,1566.7300691816713,796.6234819063941
2.0,80.0,771.3276388668779,1629.4691154457307,809.9780440334833
2.0,82.0,779.9073062914734,1716.9486122856747,822.6115596278847
2.0,84.0,787.7432538671237,1839.080392661559,834.2162154732242
2.0,86.0,794.5449634705585,1998.0340083707508,844.5759508193612
2.0,88.0,800.1612559265948,2187.223530246304,853.535044177459
2.0,90.0,804.572919059543,2393.0337823978225,860.9620358268606
2.0,92.0,807.8699069010534,2598.567496573518,866.7190422681487
2.0,94.0,810.2182967344238,2787.980705187235,870.6448995856128
2.0,96.0,811.8231095305033,2949.896955982126,872.5571405251529
2.0,98.0,812.8929538615309,3078.9341978533953,872.2732981529746
4.0,0.0,725.2053976880313,2181.198990231923,727.591253391531
4.0,2.0,725.871813712599,1988.1978381925605,732.5208200951596
4.0,4.0,729.4328902350888,1792.4302097593436,740.1446713570726
4.0,6.0,735.7930671017622,1593.9915205743455,750.328128229432
4.0,8.0,744.6280050450646,1393.313371392863,762.7042023569688
4.0,10.0,755.4053032815648,1193.1690648614344,776.6924339921378
4.0,12.0,767.4306528244289,1000.1303610317744,791.5450365131578
4.0,14.0,779.9146806935348,824.5337974831043,806.4161278915349
4.0,16.0,792.0524023508294,678.6500716413752,820.4457723261617
4.0,18.0,803.1049427924722,573.602717126659,832.8475963818429
4.0,20.0,812.4724519660666,516.1869910324631,842.9875316216112
4.0,22.0,819.7481285964927,506.78460449616193,850.442121592521
4.0,24.0,824.7458908538723,539.0726941424068,855.0277801077239
4.0,26.0,827.4981194288923,601.4902926319983,856.7969631646909
4.0,28.0,828.224443944513,679.8288332033073,856.0026460731079
4.0,30.0,827.2770097327309,760.0800400875253,853.037809864029
4.0,32.0,825.0713040701824,830.792005209313,848.36085126701
4.0,34.0,822.013817561616,884.481858377487,842.4201308866449
4.0,36.0,818.4381811584407,917.959357543625,835.5907988769954
4.0,38.0,814.559873214905,931.6596079834812,828.1345630321329
4.0,40.0,810.4563808005141,928.2820459665579,820.1886253247332
4.0,42.0,806.0753587651093,911.2021227520838,811.7844270824827
4.0,44.0,801.268588674162,883.2101685723605,802.8911585219364
4.0,46.0,795.845197926984,846.0453684867505,793.4742837751908
4.0,48.0,789.6343887085682,800.8907846835014,783.5565068466398
4.0,50.0,782.5463827230758,749.5653548421769,773.2681995225666
4.0,52.0,774.6206586343818,695.7881798183485,762.8764061792327
4.0,54.0,766.0527632960556,645.7953616418188,752.7857264533665
4.0,56.0,757.1946216462262,607.8296615273846,743.5098425926028
4.0,58.0,748.5277199105385,590.493615346403,735.6181435902281
4.0,60.0,740.613031926955,600.4417490393375,729.6667019370905
4.0,62.0,734.025345194343,640.1846006445624,726.125855557141
4.0,64.0,729.2821046386418,706.7933364965846,725.3172690561007
4.0,66.0,726.7776510035155,792.0574382913281,727.3714948539384
4.0,68.0,726.7327085998496,884.252546457298,732.2131123520933
4.0,70.0,729.166398375239,971.2176969049294,739.5752858562003
4.0,72.0,733.8943958438122,1044.006858520947,749.0400914833447
4.0,74.0,740.552761214259,1100.0711672902485,760.0963013937682
4.0,76.0,748.6431291303734,1144.877040624545,772.2033862895324
4.0,78.0,757.5919719043795,1191.1837189702865,784.849854907311
4.0,80.0,766.8149811429503,1255.8885225224424,797.5957802001434
4.0,82.0,775.7774440537485,1355.2105037953545,810.0930771448616
4.0,84.0,784.042755385702,1499.6831787059282,822.0820123936122
4.0,86.0,791.3036006521208,1690.6242921815056,833.367522394174
4.0,88.0,797.3933984299356,1919.2954177128404,843.7831476436542
4.0,90.0,802.2787499020517,2169.0074447734346,853.1528940667256
4.0,92.0,806.0363869468417,2419.369034412895,861.2616036217618
4.0,94.0,808.8200237459732,2651.1672184327213,867.8424093306477
4.0,96.0,810.8233651345803,2850.293115651494,872.5859858385525
6.0,0.0,710.6790381538664,1929.6404692865226,702.4326730064746
6.0,2.0,710.9615502614298,1721.552210030647,707.3013542439579
6.0,4.0,714.5624233465089,1519.6188694045863,715.242677346434
6.0,6.0,721.3780171334672,1322.7282450578548,726.0859701248256
6.0,8.0,731.0437547145035,1129.1286228658078,739.4175217280487
6.0,10.0,742.9599009987132,939.1898848717847,754.6028636064184
6.0,12.0,756.3457100576439,757.4327571776388,770.8370497930975
6.0,14.0,770.3160843477175,592.671703057772,787.2182504041417
6.0,16.0,783.9713325730748,456.0115976730957,802.835840432477
6.0,18.0,796.4883349189419,357.49287077152155,816.8612248179813
6.0,20.0,807.2008644731229,302.8111648449414,828.6285389524716
6.0,22.0,815.6581414379158,291.4295013966005,837.6934348970567
6.0,24.0,821.653768823889,316.6778866800698,843.8613396999349
6.0,26.0,825.2215701752234,367.54772155002183,847.1813750182341
6.0,28.0,826.5998420577214,431.306922754707,847.907742667124
6.0,30.0,826.1703426544889,495.9977784770458,846.4358045815346
6.0,32.0,824.3821705213632,552.2121075082864,843.2243135296545
6.0,34.0,821.6729011391047,593.9648228390606,838.7174746423643
6.0,36.0,818.399563582762,618.7616367263793,833.280289415982
6.0,38.0,814.7902090181107,627.0348011254604,827.1579623326145
6.0,40.0,810.9232460593744,621.1239289657283,820.4655104495791
6.0,42.0,806.7369916393275,604.0380156258561,813.2079656685609
6.0,44.0,802.0668022545298,578.3551340170376,805.3257775189084
6.0,46.0,796.7025613257645,545.6730459619428,796.7553059644786
6.0,48.0,790.4559688036416,506.8814414625293,787.4915359247601
6.0,50.0,783.2255550840898,463.17516873906357,777.6398704259963
6.0,52.0,775.0478572505228,417.3240525246821,767.4461111909611
6.0,54.0,766.1256369984317,374.4904460748111,757.2980679474351
6.0,56.0,756.827946540545,341.9957607055565,747.6978008789185
6.0,58.0,747.6615769688582,327.8586729653023,739.209206933705
6.0,60.0,739.218146149648,338.47346752453603,732.3903988639437
6.0,62.0,732.1050123356051,376.22541469937863,727.7231799051472
6.0,64.0,726.8707013649628,437.9768134850695,725.5523468204082
6.0,66.0,723.936234575825,515.1560938905994,726.0455012567232
6.0,68.0,723.5425821852184,595.7114583319703,729.1799472319232
6.0,70.0,725.7216994210918,667.5852613674219,734.757937699763
6.0,72.0,730.2947472162299,722.7920784790098,742.4460768107099
6.0,74.0,736.896834484221,760.8222343939381,751.8301773255024
6.0,76.0,745.0236619031061,790.1078481635082,762.474205913841
6.0,78.0,754.0924281105271,826.763132394987,773.9716365442216
6.0,80.0,763.5077178772508,890.6657007681717,785.9796083103844
6.0,82.0,772.7230113614945,999.9097247354006,798.2302989716616
6.0,84.0,781.2898435070553,1165.3481064798593,810.5190375916884
6.0,86.0,788.8891708875863,1387.0207493352825,822.6738270481158
6.0,88.0,795.3426687537099,1653.6514357064164,834.5150633726474
6.0,90.0,800.604911993739,1945.3146769930206,845.8164691909204
6.0,92.0,804.7401523258061,2238.276870311962,856.2781335923473
6.0,94.0,807.8892777683027,2510.3570631060547,865.5200821753461
8.0,0.0,696.1215110236983,1665.9143942248174,678.5249314927044
8.0,2.0,695.906393997833,1445.2650802620124,683.312618044708
8.0,4.0,699.4229578641354,1242.1131982880363,691.5126721768036
8.0,6.0,706.566088267996,1054.3211409241205,702.9124340303313
8.0,8.0,716.9382472908086,877.6965323145346,717.0503981938073
8.0,10.0,729.8796981229597,709.461737146491,733.2422078272408
8.0,12.0,744.529998177459,550.9690247781052,750.6345614773197
8.0,14.0,759.9138594310887,408.2689945264367,768.2819727078623
8.0,16.0,775.0407030664654,290.2256795593403,785.2372253876133
8.0,18.0,789.0049301622704,205.10852569945456,800.643519570859
8.0,20.0,801.0735294739771,157.29005478603926,813.8153410085739
8.0,22.0,810.7492863991458,145.4925285636325,824.296322396655
8.0,24.0,817.8013470492306,163.14199017262104,831.8856992881415
8.0,26.0,822.2597158836168,200.36348201769982,836.6298899758136
8.0,28.0,824.3756748805483,246.54766087825755,838.7814082728368
